Sub,mm2_r,mm2_z
03184-A,0.531143553297925,0.591736758930442
03187-A,0.551108980645472,0.619972642887651
03192-A,0.715556889530751,0.898479876724307
03193-A,0.157897611072078,0.159229813279447
03197-A,0.191711553696472,0.194113425186371
03201-A,0.332503241512191,0.345640027313509
03203-A,0.475528867223261,0.517190684920324
03204-A,0.436714725820362,0.468164071107364
03206-A,0.304573452121291,0.314553007227918
03211-A,0.54483535887885,0.61100670885181
03217-A,0.50425237131678,0.554992153206822
03219-A,0.434959763523209,0.46599757241501
03225-A,0.514763347248748,0.56918889177844
03229-A,0.533793042868581,0.595434704944605
03235-A,0.740876235886555,0.95241902400598
03236-A,0.34775825744783,0.362891338579371
03239-A,0.539161671953746,0.602972947608793
03240-A,0.477882515989387,0.520236491064954
03243-A,0.451849966806364,0.487022414361957
03248-A,0.0993198905663868,0.0996484155879586
03251-A,0.675722459577243,0.821199957530366
03252-A,0.469849271160961,0.509876888870287
03256-A,0.363704970013225,0.381149088978528
03263-A,0.67526118382391,0.820351573021767
03265-A,0.345542167287385,0.360372576306393
03266-A,-5.55849339302456e-4,-5.55849396549123e-4
03267-A,0.53850354612153,0.602045564835533
03268-A,0.507327716815981,0.559124712510668
03277-A,0.140879116666983,0.141822380719708
03282-A,0.266059317912468,0.272618122721745
03285-A,0.576489859233197,0.65718929378151
03291-A,0.621461655608166,0.727382952026192
03292-A,0.473153387911271,0.51412554826115
03306-A,0.613212958606322,0.714054417445744
03307-A,-0.275146349293849,-0.282423230691119
03312-A,0.711361165571741,0.889934068698394
03315-A,0.489884931483936,0.535908921977528
03316-A,0.458630982843259,0.495576221772312
03320-A,0.709325982939359,0.885825993398436
03324-A,0.450890907905876,0.485817966829333
03334-A,0.0645479595676537,0.0646378293843141
03335-A,0.641478691960958,0.760682330549971
03344-A,0.134435190918145,0.13525396229332
03345-A,0.630880049857981,0.742876698319218
03346-A,0.651947511119815,0.778678441065014
03355-A,0.403780153618305,0.428157258882707
03357-A,0.465596933566099,0.504433770676137
03367-A,0.206401306354882,0.209409585125074
03370-A,0.594963079243653,0.685313820914277
03378-A,0.19084435663399,0.193213294756312
03383-A,0.0865990356655923,0.0868164950622052
03384-A,0.574664890079395,0.654460204130292
03389-A,0.147366981731538,0.14844789250527
03391-A,0.686874652201412,0.842014597510245
03394-A,0.621881106638281,0.728066626325811
03396-A,0.244400235777067,0.249448565453084
03399-A,0.00808627435496825,0.00808645060986883
03400-A,0.160618498461034,0.162021508698246
03402-A,0.513983700748238,0.568128753679084
03403-A,0.437834669031913,0.469548784483385
03407-A,0.434358537598455,0.46525629864927
03416-A,0.377889222353923,0.397594941093608
03419-A,0.402908255604873,0.427115954544465
03423-A,0.697849996087126,0.863097212842131
03424-A,0.664123654892657,0.80015542937076
03429-A,0.675640892933112,0.821049868279732
03430-A,0.472201497208173,0.512899794620937
03431-A,0.465596016365326,0.504432599611987
03434-A,-0.0315086592349795,-0.0315190926701343
03436-A,0.514971343522482,0.569471913942619
03437-A,0.650019919428305,0.775333199495486
03444-A,-0.150408537462884,-0.151558403302168
03449-A,0.197822501573179,0.200465351146167
03458-A,-0.201749448840854,-0.204555563044774
03462-A,0.372455342170585,0.391270899472214
03470-A,0.224142296168406,0.228013289668563
03474-A,0.0794013268839526,0.0795688247030206
03476-A,0.0779071220054312,0.078065318113797
03477-A,-0.290386114216254,-0.298987883323027
03485-A,0.0513756781210418,0.0514209511948907
03488-A,0.479947810052299,0.52291646541748
03490-A,0.48383208710771,0.527975571673965
03491-A,0.52124601819493,0.578049084647824
03493-A,0.441313595431259,0.473860936838568
03495-A,0.50555021088254,0.556734045890662
03496-A,0.581023454635813,0.664006365855987
03498-A,0.636630678812734,0.752487606291973
03519-A,0.270336458198494,0.277226772913991
03558-A,0.53943518335833,0.603358632769498
03619-A,0.611539809917722,0.711377355432498
03685-A,0.599826126075533,0.692875546824432
03710-A,0.374963193355517,0.394185851320043
03739-A,0.385505697638945,0.406510409828692
03742-A,0.409213661087271,0.434666356638396
03769-A,0.641818265931017,0.761259555371664
03775-A,0.583904418304412,0.668366615506618
03888-A,0.498354683723962,0.547114789435762
03979-A,0.443203451183701,0.476210314946173
03981-A,0.277405680003223,0.284869264738848
04007-A,0.7271323022452,0.922615314618474
04008-A,0.486048627683624,0.530873647014791
04012-A,0.53939234107121,0.603298209207203
04013-A,0.582508515956418,0.666251194376222
04014-A,0.339840818472294,0.353912551815304
04017-A,0.246453701536855,0.251633649390813
04022-A,0.601582957530001,0.69562423276092
