refCode,Pairs,Domain,r_twin_PP,z_twin_PP
02840_UR,UR,scenes val.,0.7663536525005478,1.0114319903392814
02847_UR,UR,scenes val.,0.8081674726743565,1.1217232137364306
02855_UR,UR,scenes val.,0.7782440488342428,1.0409021044307727
02857_UR,UR,scenes val.,0.7299153166047434,0.9285460921633439
02861_UR,UR,scenes val.,0.7478274596945865,0.9680076535504869
02868_UR,UR,scenes val.,0.6984467657019602,0.8642614398721941
02872_UR,UR,scenes val.,0.8289322746640322,1.1847140432003602
02878_UR,UR,scenes val.,0.683991495359933,0.8365765089427554
02886_UR,UR,scenes val.,0.8250075885148338,1.17229840702843
02899_UR,UR,scenes val.,0.8438348558755617,1.2343443895309734
02910_UR,UR,scenes val.,0.8467098725590071,1.2444142519712955
02912_UR,UR,scenes val.,0.48038087997133744,0.5234793016349063
02919_UR,UR,scenes val.,0.7519294104751542,0.9773798195075258
02921_UR,UR,scenes val.,0.6749069747694598,0.8197007662069643
02924_UR,UR,scenes val.,0.4983568422875243,0.5471176612349724
02926_UR,UR,scenes val.,0.7502493918428305,0.9735253568995311
02933_UR,UR,scenes val.,0.7599790616720753,0.9961655143073208
02938_UR,UR,scenes val.,0.7476585925311354,0.967624630894781
02940_UR,UR,scenes val.,0.6510188250348599,0.7770649326185414
02941_UR,UR,scenes val.,0.8266234373026895,1.1773792666473035
02942_UR,UR,scenes val.,0.8279720368425518,1.1816527073344456
02945_UR,UR,scenes val.,0.8103609383077144,1.1280794638120792
02947_UR,UR,scenes val.,0.7868673231235225,1.0631521994426192
02948_UR,UR,scenes val.,0.835977712449352,1.2076650568141027
02954_UR,UR,scenes val.,0.6904815915680008,0.8488755822101062
02960_UR,UR,scenes val.,0.8272148407653279,1.1792495864703745
02971_UR,UR,scenes val.,0.6786953988747018,0.8266913180395886
02976_UR,UR,scenes val.,0.8158214881682995,1.1441938972845167
02981_UR,UR,scenes val.,0.7290438288968882,0.926683378542054
02982_UR,UR,scenes val.,0.652800254731328,0.7801630016868502
02987_UR,UR,scenes val.,0.6304083017461709,0.7420934381104761
02988_UR,UR,scenes val.,0.7583690141425895,0.9923651256577926
03004_UR,UR,scenes val.,0.6754155687421487,0.820635411575906
03013_UR,UR,scenes val.,0.6274282316540635,0.7371632949270851
03026_UR,UR,scenes val.,0.7909270370087449,1.073902683139603
