Item,Value,FamId,is_repeated
sc034,3,00006,1
sc162,NA,00006,2
sc050,7,00006,1
sc151,6,00006,1
sc002,NA,00006,2
sc075,3,00006,1
sc021,9,00006,1
sc089,1,00006,2
sc198,1,00006,2
sc015,NA,00006,2
sc004,9,00006,1
sc015,9,00006,1
sc055,1,00006,1
sc161,NA,00006,2
sc048,1,00006,2
sc164,8,00006,2
sc188,6,00006,1
sc115,9,00006,1
sc021,NA,00006,2
sc013,5,00006,2
sc049,NA,00006,2
sc004,NA,00006,2
sc184,NA,00006,2
sc008,NA,00006,2
sc170,1,00006,2
sc198,2,00006,1
sc085,9,00006,1
sc065,7,00006,1
sc194,NA,00006,2
sc115,NA,00006,2
sc189,9,00006,1
sc164,6,00006,1
sc075,1,00006,2
sc165,5,00006,2
sc089,1,00006,1
sc025,3,00006,1
sc079,1,00006,2
sc079,4,00006,1
sc103,8,00006,1
sc048,1,00006,1
sc013,4,00006,1
sc008,9,00006,1
sc051,2,00006,1
sc088,6,00006,1
sc162,1,00006,1
sc143,8,00006,1
sc149,6,00006,1
sc055,NA,00006,2
sc170,1,00006,1
sc149,5,00006,2
sc165,9,00006,1
sc080,4,00006,1
sc080,1,00006,2
sc065,9,00007,1
sc047,NA,00007,2
sc049,7,00007,1
sc188,7,00007,1
sc001,2,00007,2
sc082,NA,00007,2
sc080,4,00007,1
sc161,8,00007,1
sc189,8,00007,1
sc176,NA,00007,2
sc008,9,00007,1
sc008,NA,00007,2
sc053,7,00007,2
sc198,1,00007,1
sc055,NA,00007,2
sc116,NA,00007,2
sc004,NA,00007,2
sc108,1,00007,1
sc050,8,00007,2
sc120,NA,00007,2
sc162,1,00007,1
sc122,5,00007,1
sc002,NA,00007,2
sc074,1,00007,1
sc176,4,00007,1
sc002,6,00007,1
sc116,2,00007,1
sc079,1,00007,1
sc065,8,00007,2
sc142,1,00007,1
sc015,NA,00007,2
sc032,6,00007,1
sc088,1,00007,2
sc085,NA,00007,2
sc021,NA,00007,2
sc085,8,00007,1
sc021,8,00007,1
sc075,5,00007,1
sc082,2,00007,1
sc020,NA,00007,2
sc146,NA,00007,2
sc161,NA,00007,2
sc020,2,00007,1
sc048,1,00007,2
sc170,1,00007,1
sc108,1,00007,2
sc149,2,00007,1
sc115,NA,00007,2
sc184,NA,00007,2
sc051,7,00007,2
sc194,NA,00007,2
sc151,NA,00007,2
sc142,NA,00007,2
sc103,6,00007,2
sc165,8,00007,1
sc034,8,00007,1
sc146,6,00007,1
sc164,4,00007,2
sc162,NA,00007,2
sc188,8,00007,2
sc048,1,00007,1
sc120,1,00007,1
sc034,NA,00007,2
sc046,2,00007,1
sc015,9,00007,1
sc198,1,00007,2
sc025,1,00007,2
sc184,1,00007,1
sc143,6,00007,1
sc151,9,00007,1
sc046,NA,00007,2
sc001,4,00007,1
sc080,6,00007,2
sc103,8,00007,1
sc122,2,00007,2
sc165,9,00007,2
sc089,1,00007,2
sc050,6,00007,1
sc088,5,00007,1
sc115,9,00007,1
sc170,1,00007,2
sc079,1,00007,2
sc051,5,00007,1
sc032,NA,00007,2
sc149,2,00007,2
sc194,9,00007,1
sc164,6,00007,1
sc004,7,00007,1
sc013,4,00007,2
sc189,7,00007,2
sc025,1,00007,1
sc074,NA,00007,2
sc047,7,00007,1
sc143,7,00007,2
sc013,5,00007,1
sc055,1,00007,1
sc049,NA,00007,2
sc053,7,00007,1
sc075,5,00007,2
sc089,1,00007,1
sc088,1,00010,2
sc004,NA,00010,2
sc050,6,00010,2
sc188,9,00010,1
sc020,3,00010,1
sc065,7,00010,1
sc079,1,00010,1
sc189,9,00010,1
sc143,8,00010,1
sc074,1,00010,1
sc151,8,00010,1
sc080,5,00010,1
sc055,1,00010,1
sc108,2,00010,2
sc149,4,00010,1
sc032,8,00010,1
sc051,3,00010,2
sc074,NA,00010,2
sc194,8,00010,1
sc184,2,00010,1
sc015,NA,00010,2
sc046,NA,00010,2
sc021,5,00010,1
sc162,1,00010,1
sc015,9,00010,1
sc085,7,00010,1
sc115,NA,00010,2
sc008,7,00010,1
sc049,NA,00010,2
sc020,NA,00010,2
sc116,1,00010,1
sc075,7,00010,2
sc088,2,00010,1
sc103,7,00010,2
sc151,NA,00010,2
sc079,1,00010,2
sc142,1,00010,1
sc055,NA,00010,2
sc001,2,00010,2
sc008,NA,00010,2
sc108,2,00010,1
sc164,1,00010,2
sc032,NA,00010,2
sc189,8,00010,2
sc122,7,00010,1
sc047,NA,00010,2
sc075,7,00010,1
sc198,1,00010,1
sc053,7,00010,2
sc161,9,00010,1
sc089,1,00010,1
sc116,NA,00010,2
sc085,NA,00010,2
sc065,7,00010,2
sc082,3,00010,1
sc170,1,00010,1
sc013,5,00010,1
sc049,7,00010,1
sc089,1,00010,2
sc146,7,00010,1
sc162,NA,00010,2
sc047,7,00010,1
sc034,7,00010,1
sc165,8,00010,1
sc120,3,00010,1
sc194,NA,00010,2
sc184,NA,00010,2
sc082,NA,00010,2
sc053,8,00010,1
sc103,7,00010,1
sc004,8,00010,1
sc164,1,00010,1
sc050,5,00010,1
sc034,NA,00010,2
sc176,NA,00010,2
sc025,1,00010,2
sc170,1,00010,2
sc051,2,00010,1
sc002,6,00010,1
sc001,4,00010,1
sc176,4,00010,1
sc165,7,00010,2
sc048,2,00010,2
sc161,NA,00010,2
sc013,4,00010,2
sc021,NA,00010,2
sc115,7,00010,1
sc143,8,00010,2
sc025,1,00010,1
sc188,8,00010,2
sc120,NA,00010,2
sc048,2,00010,1
sc080,7,00010,2
sc122,4,00010,2
sc142,NA,00010,2
sc149,3,00010,2
sc146,NA,00010,2
sc046,7,00010,1
sc198,1,00010,2
sc002,NA,00010,2
sc004,8,00012,1
sc142,NA,00012,2
sc050,9,00012,1
sc103,9,00012,2
sc021,6,00012,1
sc034,NA,00012,2
sc080,7,00012,1
sc108,2,00012,1
sc082,NA,00012,2
sc079,1,00012,1
sc143,7,00012,1
sc115,NA,00012,2
sc164,3,00012,1
sc085,NA,00012,2
sc065,8,00012,1
sc198,1,00012,1
sc161,8,00012,1
sc049,NA,00012,2
sc020,1,00012,1
sc176,NA,00012,2
sc001,2,00012,2
sc108,1,00012,2
sc025,6,00012,1
sc048,2,00012,1
sc001,2,00012,1
sc189,7,00012,2
sc188,7,00012,1
sc184,NA,00012,2
sc176,6,00012,1
sc116,1,00012,1
sc049,7,00012,1
sc165,9,00012,1
sc051,1,00012,1
sc161,NA,00012,2
sc002,NA,00012,2
sc149,1,00012,1
sc050,8,00012,2
sc162,NA,00012,2
sc082,1,00012,1
sc122,3,00012,2
sc162,1,00012,1
sc165,9,00012,2
sc046,5,00012,1
sc194,7,00012,1
sc013,8,00012,1
sc002,8,00012,1
sc143,7,00012,2
sc188,4,00012,2
sc032,NA,00012,2
sc080,7,00012,2
sc088,3,00012,2
sc164,6,00012,2
sc151,NA,00012,2
sc075,7,00012,2
sc085,1,00012,1
sc021,NA,00012,2
sc047,8,00012,1
sc004,NA,00012,2
sc053,8,00012,2
sc025,7,00012,2
sc146,6,00012,1
sc065,7,00012,2
sc120,NA,00012,2
sc032,3,00012,1
sc015,NA,00012,2
sc149,2,00012,2
sc055,NA,00012,2
sc055,1,00012,1
sc116,NA,00012,2
sc020,NA,00012,2
sc079,1,00012,2
sc089,1,00012,1
sc074,2,00012,1
sc198,1,00012,2
sc074,NA,00012,2
sc034,3,00012,1
sc146,NA,00012,2
sc120,2,00012,1
sc189,8,00012,1
sc122,4,00012,1
sc013,8,00012,2
sc151,7,00012,1
sc051,2,00012,2
sc115,9,00012,1
sc075,7,00012,1
sc089,1,00012,2
sc088,3,00012,1
sc103,9,00012,1
sc048,2,00012,2
sc008,NA,00012,2
sc170,1,00012,1
sc046,NA,00012,2
sc184,1,00012,1
sc142,1,00012,1
sc194,NA,00012,2
sc015,8,00012,1
sc053,8,00012,1
sc170,1,00012,2
sc047,NA,00012,2
sc008,9,00012,1
sc074,1,00014,1
sc115,8,00014,1
sc065,7,00014,1
sc089,3,00014,1
sc162,NA,00014,2
sc143,9,00014,1
sc165,9,00014,1
sc151,9,00014,1
sc184,NA,00014,2
sc048,5,00014,1
sc032,8,00014,1
sc047,7,00014,1
sc188,7,00014,1
sc079,2,00014,2
sc051,2,00014,1
sc149,3,00014,1
sc008,NA,00014,2
sc108,2,00014,2
sc001,2,00014,1
sc162,1,00014,1
sc004,9,00014,1
sc020,4,00014,1
sc176,8,00014,1
sc082,4,00014,1
sc146,NA,00014,2
sc079,2,00014,1
sc075,7,00014,1
sc142,NA,00014,2
sc120,3,00014,1
sc080,5,00014,1
sc050,8,00014,2
sc015,NA,00014,2
sc055,1,00014,1
sc002,8,00014,1
sc085,2,00014,1
sc088,3,00014,1
sc115,NA,00014,2
sc008,8,00014,1
sc049,NA,00014,2
sc049,7,00014,1
sc103,8,00014,2
sc025,2,00014,1
sc047,NA,00014,2
sc074,NA,00014,2
sc088,2,00014,2
sc164,2,00014,2
sc013,7,00014,2
sc164,5,00014,1
sc151,NA,00014,2
sc055,NA,00014,2
sc032,NA,00014,2
sc116,2,00014,1
sc025,2,00014,2
sc142,1,00014,1
sc021,8,00014,1
sc161,NA,00014,2
sc015,9,00014,1
sc065,8,00014,2
sc001,1,00014,2
sc021,NA,00014,2
sc004,NA,00014,2
sc189,9,00014,2
sc050,7,00014,1
sc034,6,00014,1
sc046,7,00014,1
sc034,NA,00014,2
sc184,2,00014,1
sc051,2,00014,2
sc116,NA,00014,2
sc194,7,00014,1
sc082,NA,00014,2
sc108,3,00014,1
sc075,8,00014,2
sc103,8,00014,1
sc002,NA,00014,2
sc080,7,00014,2
sc198,1,00014,1
sc089,3,00014,2
sc189,8,00014,1
sc053,8,00014,2
sc188,7,00014,2
sc122,6,00014,2
sc120,NA,00014,2
sc194,NA,00014,2
sc170,1,00014,1
sc143,9,00014,2
sc085,NA,00014,2
sc046,NA,00014,2
sc146,5,00014,1
sc149,4,00014,2
sc053,9,00014,1
sc122,7,00014,1
sc048,2,00014,2
sc176,NA,00014,2
sc013,7,00014,1
sc170,1,00014,2
sc161,8,00014,1
sc165,9,00014,2
sc020,NA,00014,2
sc198,1,00014,2
sc025,4,00015,1
sc120,5,00015,1
sc065,8,00015,1
sc002,NA,00015,2
sc142,NA,00015,2
sc050,8,00015,2
sc021,NA,00015,2
sc176,6,00015,1
sc151,NA,00015,2
sc188,4,00015,1
sc161,NA,00015,2
sc021,5,00015,1
sc165,9,00015,1
sc051,4,00015,2
sc146,NA,00015,2
sc049,NA,00015,2
sc194,9,00015,1
sc001,4,00015,1
sc034,NA,00015,2
sc161,8,00015,1
sc020,4,00015,1
sc013,6,00015,2
sc015,NA,00015,2
sc079,5,00015,1
sc089,3,00015,1
sc075,7,00015,1
sc048,5,00015,1
sc074,NA,00015,2
sc188,4,00015,2
sc194,NA,00015,2
sc146,6,00015,1
sc050,8,00015,1
sc184,NA,00015,2
sc108,7,00015,2
sc032,8,00015,1
sc079,4,00015,2
sc020,NA,00015,2
sc051,3,00015,1
sc085,5,00015,1
sc088,4,00015,2
sc116,NA,00015,2
sc055,NA,00015,2
sc080,6,00015,2
sc034,6,00015,1
sc120,NA,00015,2
sc149,5,00015,1
sc198,2,00015,2
sc115,NA,00015,2
sc089,4,00015,2
sc032,NA,00015,2
sc151,8,00015,1
sc162,NA,00015,2
sc085,NA,00015,2
sc080,6,00015,1
sc170,1,00015,1
sc065,7,00015,2
sc149,5,00015,2
sc189,9,00015,2
sc075,6,00015,2
sc082,4,00015,1
sc046,5,00015,1
sc008,NA,00015,2
sc122,6,00015,1
