FamId,Age,Sex,Zygosity,AO_1,AO_2,FA_TOT_1,FA_TOT_2,SC_1,SC_2
451,26,2,1,-1.0572838671044462,0.06344713916412859,0.829352769157142,-0.30974907345355074,-0.22540965985983474,1.1420274138077304
452,37,2,3,7.699423464270393e-4,0.152535599445297,0.649315974326841,0.15231931051262199,0.378788243093479,-0.2534676081721693
453,44,1,1,0.6123430342789221,-0.08811384463893782,0.20218513739344784,0.5468178604763008,-0.2640019525513477,0.04477416085745675
454,62,2,3,-0.015383734373765742,1.35050717951606,-0.5708172828814784,0.8875232926901718,1.6597334691769547,1.2186247357358038
455,24,2,1,-0.18835898561390893,-0.09496473509152811,-0.018128328345611667,-1.3640098048060179,0.9907357625535647,-0.6854774245228057
456,56,1,1,-0.8304133898231587,NA,0.7524306292145369,0.2989665198949935,2.0847031508814013,1.6730016663363276
457,30,1,1,-0.0996145207905534,1.4647391754593335,-0.4917651542664647,-1.1846583133067279,0.838389282531131,0.7648711602909396
458,52,2,1,0.4767278390306938,0.2665907753553363,-0.3062310930708226,0.5100043037043561,-0.2730147429369394,0.6974244706335914
459,53,2,1,0.2524024619607833,-0.5998200740559458,0.33335837171665755,-0.36316250019816027,0.19227713056315973,-0.6311258385269882
46,40,1,1,0.4005878176052878,0.21379931656052492,1.7358874007430911,0.752777211738319,0.1685959673422385,-0.1548837705146046
460,25,2,1,-0.4827300505756054,0.8247894567377323,-1.9614704302422536,-0.8659011421262354,0.5296992958272485,-0.11726017988643835
461,28,1,1,0.2789905454574826,-1.0635518058017481,-1.0272629445573722,-0.4649674490011385,-0.8567829357670598,-0.5038959490141398
462,50,2,1,0.061481775838489405,0.08483033846908473,-0.4608190315333138,-0.29394423930372093,-0.24786290081464424,-1.791743467858671
463,32,2,1,-0.8505567145893226,0.01334010274270391,0.11048218743924788,-0.6803592192140369,-0.06560719505810651,-0.7419739196678696
464,53,2,1,0.6143051827350111,0.38081955642905796,0.3950294905841174,0.4059126292077856,-0.6752367118711022,-0.08709173394956868
465,25,2,1,-0.34263867479203336,0.9882293951518991,0.21878500736611187,0.4473309184631629,-0.41133266884720554,1.2795841426772037
466,24,2,3,1.5160860864195493,-0.03659332851503899,-0.377271902926693,-0.3047176454355649,0.21144366680753365,1.5347698671309833
467,59,1,1,1.5435979022597972,0.9832323991255102,1.949284161540264,1.53572489384084,2.0102163265778636,0.8633336196308725
468,26,2,1,-0.5669640518619444,1.9313321496117544,0.5899237194364247,0.07478849124942112,-0.9311836333656759,1.5096180250086888
469,24,1,3,0.5108580187651595,1.0478749592688514,0.4012356454301343,0.07111377384550835,0.20807083539217486,0.13455271315198344
47,50,2,1,-0.9074835733312163,-1.6312890148796715,-2.2057489241949186,-1.846605349613838,0.07561683704219958,-0.9389332498724466
470,31,2,1,-0.2760028980604819,NA,-0.1264311482724795,0.533812594896778,-2.295334002322806,-0.5161954441101664
