Item_2,Value,FamId,is_repeated
OBJECTS47,5,102,1
OBJECTS20,NA,102,2
OBJECTS4,NA,102,2
OBJECTS16,2,102,1
OBJECTS7,NA,102,2
OBJECTS31,1,102,1
OBJECTS7,5,102,1
OBJECTS14,2,102,1
OBJECTS26,3,102,1
OBJECTS49,NA,102,2
OBJECTS34,NA,102,2
OBJECTS22,1,102,1
OBJECTS38,NA,102,2
OBJECTS17,NA,102,2
OBJECTS44,NA,102,2
OBJECTS2,2,102,1
OBJECTS17,5,102,1
OBJECTS30,1,102,1
OBJECTS25,6,102,1
OBJECTS20,4,102,1
OBJECTS19,4,102,1
OBJECTS21,1,102,1
OBJECTS46,NA,102,2
OBJECTS41,NA,102,2
OBJECTS46,2,102,1
OBJECTS13,NA,102,2
OBJECTS6,4,102,2
OBJECTS11,NA,102,2
OBJECTS25,NA,102,2
OBJECTS27,4,102,2
OBJECTS2,NA,102,2
OBJECTS4,3,102,1
OBJECTS42,NA,102,2
OBJECTS18,5,102,2
OBJECTS8,5,102,1
OBJECTS42,1,102,1
OBJECTS47,5,102,2
OBJECTS27,5,102,1
OBJECTS9,1,102,2
OBJECTS15,1,102,1
OBJECTS3,2,102,2
OBJECTS43,1,102,2
OBJECTS35,6,102,1
OBJECTS48,NA,102,2
OBJECTS32,6,102,1
OBJECTS45,5,102,1
OBJECTS35,NA,102,2
OBJECTS40,5,102,1
OBJECTS29,NA,102,2
OBJECTS28,NA,102,2
OBJECTS22,NA,102,2
OBJECTS18,5,102,1
OBJECTS9,1,102,1
OBJECTS36,1,102,1
OBJECTS44,2,102,1
OBJECTS16,NA,102,2
OBJECTS45,NA,102,2
OBJECTS36,1,102,2
OBJECTS39,5,102,2
OBJECTS33,4,102,2
OBJECTS30,1,102,2
OBJECTS33,6,102,1
OBJECTS31,NA,102,2
OBJECTS28,1,102,1
OBJECTS3,3,102,1
OBJECTS32,NA,102,2
OBJECTS29,1,102,1
OBJECTS48,1,102,1
OBJECTS11,4,102,1
OBJECTS6,4,102,1
OBJECTS10,1,102,1
OBJECTS37,2,102,1
OBJECTS10,NA,102,2
OBJECTS38,1,102,1
OBJECTS43,1,102,1
OBJECTS23,3,102,1
OBJECTS37,NA,102,2
OBJECTS23,NA,102,2
OBJECTS26,NA,103,2
OBJECTS30,3,103,1
OBJECTS20,6,103,1
OBJECTS5,NA,103,2
OBJECTS16,NA,103,2
OBJECTS47,2,103,1
OBJECTS24,7,103,1
OBJECTS8,NA,103,2
OBJECTS31,NA,103,2
OBJECTS4,6,103,1
OBJECTS31,4,103,1
OBJECTS25,NA,103,2
OBJECTS35,NA,103,2
OBJECTS12,3,103,2
OBJECTS21,3,103,2
OBJECTS29,4,103,1
OBJECTS19,NA,103,2
OBJECTS48,NA,103,2
OBJECTS41,NA,103,2
OBJECTS20,NA,103,2
OBJECTS43,3,103,2
OBJECTS18,5,103,2
OBJECTS4,NA,103,2
OBJECTS30,3,103,2
OBJECTS11,4,103,1
OBJECTS16,4,103,1
OBJECTS3,3,103,2
OBJECTS38,NA,103,2
OBJECTS19,4,103,1
OBJECTS33,4,103,2
OBJECTS12,3,103,1
OBJECTS11,NA,103,2
OBJECTS21,5,103,1
OBJECTS8,4,103,1
OBJECTS47,3,103,2
OBJECTS40,NA,103,2
OBJECTS13,4,103,1
OBJECTS48,3,103,1
OBJECTS15,3,103,2
OBJECTS50,2,103,1
OBJECTS25,6,103,1
OBJECTS49,2,103,1
OBJECTS37,NA,103,2
OBJECTS2,5,103,1
OBJECTS38,3,103,1
OBJECTS46,3,103,1
OBJECTS9,3,103,2
OBJECTS22,3,103,1
OBJECTS33,5,103,1
OBJECTS28,5,103,1
OBJECTS35,4,103,1
OBJECTS27,4,103,2
OBJECTS2,NA,103,2
OBJECTS24,5,103,2
OBJECTS26,5,103,1
OBJECTS7,5,103,1
OBJECTS17,6,103,1
OBJECTS34,4,103,1
OBJECTS6,5,103,2
OBJECTS40,5,103,1
OBJECTS46,NA,103,2
OBJECTS18,7,103,1
OBJECTS37,4,103,1
OBJECTS39,5,103,1
OBJECTS29,NA,103,2
OBJECTS32,NA,103,2
OBJECTS32,6,103,1
OBJECTS23,NA,103,2
OBJECTS14,6,103,1
OBJECTS27,5,103,1
OBJECTS45,NA,103,2
OBJECTS42,NA,103,2
OBJECTS28,NA,103,2
OBJECTS1,NA,103,2
OBJECTS50,NA,103,2
OBJECTS42,4,103,1
OBJECTS44,NA,103,2
OBJECTS1,2,103,1
OBJECTS44,3,103,1
OBJECTS9,4,103,1
OBJECTS39,5,103,2
OBJECTS23,5,103,1
OBJECTS15,3,103,1
OBJECTS6,7,103,1
OBJECTS10,3,103,1
OBJECTS36,4,103,2
OBJECTS10,NA,103,2
OBJECTS22,NA,103,2
OBJECTS49,NA,103,2
OBJECTS13,NA,103,2
OBJECTS34,NA,103,2
OBJECTS43,3,103,1
OBJECTS41,4,103,1
OBJECTS3,4,103,1
OBJECTS14,NA,103,2
OBJECTS7,NA,103,2
OBJECTS5,7,103,1
OBJECTS36,4,103,1
OBJECTS45,4,103,1
OBJECTS17,NA,103,2
OBJECTS17,7,105,1
OBJECTS30,3,105,1
OBJECTS32,7,105,1
