category,FamId,Sex,Age,Zygosity,avgP_1,avgP_2,varP_1,varP_2,mm2_r_1,mm2_r_2,mm2_z_1,mm2_z_2
SC,493,2,25,1,5.07,4.16,1.5307142857142861,4.188163265306122,0.836706272525792,0.767664811097691,1.21008929452721,1.01461676500652
AO,494,1,47,1,3.51,3.18,2.4233673469387758,2.915918367346938,0.514939156775521,0.530376487257722,0.569428111788063,0.590668858617543
FA_TOT,494,1,47,1,3.2375000000000007,2.995000000000001,2.1706972361809016,2.4522361809045217,0.854273528849135,0.858075985499977,1.27175844520526,1.28600250485351
SC,494,1,47,1,3.96,3.4699999999999998,4.528979591836736,4.463367346938775,0.927114262500398,0.660561991434716,1.63744299352217,0.793810019529959
FA_TOT,495,2,55,3,1.7649999999999995,3.2624999999999997,0.6932412060301498,1.3742148241206043,0.593047334269315,0.785062664026661,0.682353572561068,1.05843113721959
SC,495,2,55,3,4.81,3.48,6.958061224489797,1.540408163265306,0.744936818515176,0.901481148087536,0.961481170914653,1.48007024662371
AO,495,2,55,3,NA,4.38,NA,1.0057142857142858,NA,0.611637537346936,NA,0.711533479689343
AO,496,2,61,3,4.68,4.66,4.048571428571427,1.6065306122448977,0.819921066414815,0.745824702500944,1.15657656717122,0.963479077632466
FA_TOT,496,2,61,3,4.5024999999999995,4.302499999999998,4.023863065326638,1.3062751256281413,0.781711627195664,0.753526003911537,1.04975638494699,0.981063701906288
SC,496,2,61,3,3.93,4.72,6.489897959183672,2.2465306122448987,0.906226886028942,0.876159827016716,1.50600146571671,1.35899525745293
AO,497,2,47,1,3.22,3.66,0.9302040816326532,1.728979591836734,0.698394794857844,0.626690045235372,0.864159975618896,0.735946764826331
FA_TOT,497,2,47,1,3.599999999999999,3.224999999999999,1.28894472361809,1.7883165829145726,0.83955499273812,0.859154283337173,1.21966385980205,1.29010594684889
SC,497,2,47,1,5.17,3.44,1.7613265306122439,3.7004081632653065,0.913040757904324,0.949104707018702,1.5455048738709,1.82267748902558
AO,498,2,59,1,4.73,4.8,0.7878571428571428,0.959183673469388,0.595123955828647,0.360261740715521,0.685562885483658,0.37718664689324
FA_TOT,498,2,59,1,3.9550000000000014,5.3725000000000005,0.7492211055276384,0.7462248743718591,0.718742721008327,0.514663412409593,0.905039246156602,0.569052938983663
SC,498,2,59,1,3.74,4.9,2.869795918367347,3.3265306122448983,0.692060332737113,0.851359417850516,0.851899159450552,1.26107213855983
AO,499,1,55,1,4.42,4.22,0.3404081632653059,0.3791836734693876,0.159282574416008,0.330297699833708,0.160650508520659,0.343162372549012
FA_TOT,499,1,55,1,4.0775,4.275000000000001,0.9047675879396974,1.9566582914572872,0.81316490721502,0.805355289923404,1.13630139689609,1.11366839541176
SC,499,1,55,1,3.08,3.69,2.697551020408163,5.937653061224489,0.920056648305578,0.906802825817732,1.58939584444109,1.50923290199952
AO,5,1,48,1,4.56,4.34,0.9657142857142862,1.0963265306122454,0.58209508962065,0.725993551625634,0.665625667112731,0.920203247645003
FA_TOT,5,1,48,1,4.160000000000001,4.592499999999999,1.0973869346733645,0.8745665829145718,0.860186294630211,0.76414403527811,1.29406052977562,1.0060997930776
SC,5,1,48,1,4.42,4.91,3.0240816326530604,1.6294897959183674,0.897082879773645,0.785245566829292,1.45707432628807,1.05890802657551
AO,50,1,66,3,3.51,4.13,0.6274489795918372,1.74295918367347,0.348297848340581,0.457053714883712,0.363505293932117,0.493580639841253
FA_TOT,50,1,66,3,3.2625000000000006,3.3850000000000007,0.9621545226130644,1.8912311557788952,0.669364311141827,0.754621690132152,0.809590524796948,0.983603704980588
SC,50,1,66,3,4.25,4.52,1.3903061224489797,4.030204081632654,0.70396610042708,0.903650052225439,0.875119919862556,1.49177077476862
AO,500,2,32,1,4.72,2.7800000000000002,3.0118367346938766,0.9914285714285721,0.192599332293557,0.539748573328738,0.195035240706149,0.603800749061705
FA_TOT,500,2,32,1,3.6325,3.0250000000000004,2.212255025125629,0.9968592964824142,0.686095499590725,0.745351536307935,0.840540989416047,0.962413623762148
SC,500,2,32,1,3.99,2.87,4.2294897959183695,2.87561224489796,0.686533270947094,0.799579874885096,0.841368577548175,1.0974463624532
AO,501,2,61,1,3.9699999999999998,5.1,1.024591836734694,1.4183673469387759,0.409960111504414,0.417283985281145,0.43556327551238,0.444398837619309
FA_TOT,501,2,61,1,4.7275,5.285,0.7180841708542726,1.350527638190956,0.773349266795381,0.78980815398819,1.02860753315823,1.0709215252142401
SC,501,2,61,1,4.36,4.9,2.622857142857142,3.3877551020408174,0.856305384872385,0.904422849401152,1.27932655985362,1.49600024722308
AO,502,2,57,3,4.26,2.61,1.390204081632653,0.931530612244898,0.442048775546532,0.489977712490737,0.474774297507045,0.536031007502829
FA_TOT,502,2,57,3,2.9475,4.227500000000001,1.7095414572864316,1.7256218592964827,0.7164606021627,0.750888751158052,0.900334288626637,0.974989608310562
SC,502,2,57,3,4.03,2.76,3.0756122448979593,2.931020408163266,0.891987520063727,0.756044357283903,1.43156818900775,0.986916308834203
AO,503,2,57,3,3.07,5.0600000000000005,1.0511224489795914,2.292244897959183,0.560724518600122,0.486570555169772,0.633889345443691,0.531557242932142
