Item_2,Value,FamId,is_repeated
SCENES33,5,103,2
SCENES21,5,103,1
SCENES16,6,103,1
SCENES43,2,103,2
SCENES30,5,103,1
SCENES31,NA,103,2
SCENES5,NA,103,2
SCENES46,5,103,1
SCENES15,7,104,2
SCENES35,NA,104,2
SCENES23,4,104,1
SCENES28,5,104,1
SCENES43,2,104,1
SCENES44,NA,104,2
SCENES40,NA,104,2
SCENES41,NA,104,2
SCENES5,7,104,1
SCENES41,2,104,1
SCENES3,1,104,1
SCENES42,2,104,1
SCENES17,4,104,1
SCENES34,NA,104,2
SCENES32,2,104,1
SCENES27,6,104,2
SCENES47,6,104,2
SCENES12,6,104,2
SCENES5,NA,104,2
SCENES48,NA,104,2
SCENES24,2,104,2
SCENES6,2,104,2
SCENES13,NA,104,2
SCENES11,NA,104,2
SCENES11,3,104,1
SCENES3,2,104,2
SCENES37,NA,104,2
SCENES4,NA,104,2
SCENES39,1,104,1
SCENES27,5,104,1
SCENES18,2,104,1
SCENES42,NA,104,2
SCENES19,NA,104,2
SCENES22,NA,104,2
SCENES7,NA,104,2
SCENES29,NA,104,2
SCENES49,NA,104,2
SCENES10,NA,104,2
SCENES33,6,104,1
SCENES46,NA,104,2
SCENES28,NA,104,2
SCENES26,NA,104,2
SCENES31,NA,104,2
SCENES39,1,104,2
SCENES36,1,104,1
SCENES17,NA,104,2
SCENES1,NA,104,2
SCENES45,NA,104,2
SCENES25,2,104,1
SCENES50,5,104,1
SCENES2,1,104,1
SCENES15,7,104,1
SCENES47,7,104,1
SCENES23,NA,104,2
SCENES35,1,104,1
SCENES37,5,104,1
SCENES50,NA,104,2
SCENES32,NA,104,2
SCENES19,2,104,1
SCENES40,6,104,1
SCENES21,5,104,2
SCENES16,NA,104,2
SCENES34,4,104,1
SCENES44,6,104,1
SCENES12,6,104,1
SCENES29,6,104,1
SCENES38,NA,104,2
SCENES46,6,104,1
SCENES38,1,104,1
SCENES25,NA,104,2
SCENES33,6,104,2
SCENES14,NA,104,2
SCENES2,NA,104,2
SCENES22,2,104,1
SCENES30,3,104,2
SCENES20,NA,104,2
SCENES45,3,104,1
SCENES9,6,104,1
SCENES6,4,104,1
SCENES24,3,104,1
SCENES13,5,104,1
SCENES14,6,104,1
SCENES4,5,104,1
SCENES18,3,104,2
SCENES48,3,104,1
SCENES8,6,104,1
SCENES8,NA,104,2
SCENES26,2,104,1
SCENES9,6,104,2
SCENES7,4,104,1
SCENES31,6,104,1
SCENES36,2,104,2
SCENES10,6,104,1
SCENES49,3,104,1
SCENES21,6,104,1
SCENES30,3,104,1
SCENES43,1,104,2
SCENES20,3,104,1
SCENES1,4,104,1
SCENES16,5,104,1
